dateset,SVM,ANN,DT,RF
Hungarian,0.8474576271186439,0.7118644067796609,0.6779661016949152,0.7796610169491526
Long beach,0.8,0.7,0.775,0.925
SWizterland,0.92,0.8,0.92,0.92
Cleveland,0.7894736842105263,0.8245614035087719,0.6842105263157895,0.7543859649122807
