Dataset,SVM,ANN,DT,NB,RF
Hungarian,0.8813559322033898,0.8983050847457628,0.8983050847457628,0.6949152542372882,0.9152542372881356
Switzerland,0.68,0.88,0.76,0.56,0.8
Long_beach,0.925,0.925,0.925,0.575,0.95
Cleveland,0.8070175438596491,0.9473684210526315,0.9649122807017544,0.8070175438596491,0.9649122807017544
