Artery,ANN,SVM,Tree,NB
59 lmt,0.9294117647058824,0.9058823529411765,0.9058823529411765,0.3176470588235294
60 ladprox,0.8352941176470589,0.788235294117647,0.8235294117647058,0.4117647058823529
61 laddist,0.7294117647058823,0.7058823529411765,0.7529411764705882,0.27058823529411763
63 cxmain,0.8117647058823529,0.7647058823529411,0.7529411764705882,0.12941176470588237
65 om1,0.8352941176470589,0.8352941176470589,0.8,0.2823529411764706
67 rcaprox,0.788235294117647,0.7647058823529411,0.7529411764705882,0.23529411764705882
68 rcadist,0.8352941176470589,0.7764705882352941,0.8,0.23529411764705882
