,RF - recalling,RF - accuracy,ANN - recalling,ANN - accuracy,SVM - recalling,SVM - accuracy
binary classification,0.88,0.96,0.92,0.92,0.76,0.88
detailed classification,0.32,0.48,0.28,0.44,0.4,0.12
